2026-05-20 10:15:30.599 [main] INFO  org.solenopsis.metadata.stats.MetadataStatistics - Statistics generated: 58 components across 5 types
2026-05-20 10:15:30.605 [main] INFO  org.solenopsis.metadata.stats.MetadataStatistics - Generating metadata statistics for API version 60.0
2026-05-20 10:15:30.607 [main] INFO  org.solenopsis.metadata.stats.MetadataStatistics - Statistics generated: 0 components across 0 types
2026-05-20 10:15:30.611 [main] INFO  org.solenopsis.metadata.stats.MetadataStatistics - Generating metadata statistics for API version 60.0
2026-05-20 10:15:30.613 [main] INFO  org.solenopsis.metadata.list.ListMetadata - Found 2 components for type: ApexClass
2026-05-20 10:15:30.613 [main] INFO  org.solenopsis.metadata.list.ListMetadata - Found 1 components for type: CustomObject
2026-05-20 10:15:30.614 [main] INFO  org.solenopsis.metadata.stats.MetadataStatistics - Statistics generated: 3 components across 2 types
2026-05-20 10:15:30.622 [main] INFO  org.solenopsis.metadata.stats.MetadataStatistics - Generating statistics for 2 metadata types
2026-05-20 10:15:30.623 [main] INFO  org.solenopsis.metadata.list.ListMetadata - Found 10 components for type: ApexClass
2026-05-20 10:15:30.623 [main] INFO  org.solenopsis.metadata.list.ListMetadata - Found 20 components for type: CustomObject
2026-05-20 10:15:30.624 [main] INFO  org.solenopsis.metadata.stats.MetadataStatistics - Statistics generated: 30 components across 2 types
2026-05-20 10:15:30.658 [main] INFO  o.solenopsis.metadata.validation.PackageValidator - Structure validation complete: 1 errors, 0 warnings
2026-05-20 10:15:30.663 [main] INFO  o.solenopsis.metadata.validation.PackageValidator - Structure validation complete: 1 errors, 0 warnings
2026-05-20 10:15:30.668 [main] INFO  o.solenopsis.metadata.validation.PackageValidator - Validating package against org
2026-05-20 10:15:30.669 [main] INFO  o.solenopsis.metadata.validation.PackageValidator - Structure validation complete: 0 errors, 0 warnings
2026-05-20 10:15:30.670 [main] INFO  o.solenopsis.metadata.validation.PackageValidator - Org validation complete: 0 errors, 1 warnings
2026-05-20 10:15:30.673 [main] INFO  o.solenopsis.metadata.validation.PackageValidator - Structure validation complete: 0 errors, 0 warnings
2026-05-20 10:15:30.676 [main] INFO  o.solenopsis.metadata.validation.PackageValidator - Structure validation complete: 1 errors, 0 warnings
2026-05-20 10:15:30.683 [main] INFO  o.solenopsis.metadata.validation.PackageValidator - Structure validation complete: 1 errors, 0 warnings
2026-05-20 10:15:30.686 [main] INFO  o.solenopsis.metadata.validation.PackageValidator - Structure validation complete: 1 errors, 0 warnings
2026-05-20 10:15:30.689 [main] INFO  o.solenopsis.metadata.validation.PackageValidator - Structure validation complete: 0 errors, 1 warnings
2026-05-20 10:15:30.698 [main] INFO  o.solenopsis.metadata.validation.PackageValidator - Validating package against org
2026-05-20 10:15:30.698 [main] INFO  o.solenopsis.metadata.validation.PackageValidator - Structure validation complete: 0 errors, 0 warnings
2026-05-20 10:15:30.699 [main] INFO  org.solenopsis.metadata.list.ListMetadata - Found 0 components for type: ApexClass
2026-05-20 10:15:30.699 [main] INFO  o.solenopsis.metadata.validation.PackageValidator - Org validation complete: 0 errors, 1 warnings
2026-05-20 10:15:30.703 [main] INFO  o.solenopsis.metadata.validation.PackageValidator - Validating package against org
2026-05-20 10:15:30.703 [main] INFO  o.solenopsis.metadata.validation.PackageValidator - Structure validation complete: 0 errors, 0 warnings
2026-05-20 10:15:30.704 [main] INFO  o.solenopsis.metadata.validation.PackageValidator - Org validation complete: 0 errors, 0 warnings
2026-05-20 10:15:30.706 [main] INFO  o.solenopsis.metadata.validation.PackageValidator - Structure validation complete: 1 errors, 0 warnings
2026-05-20 10:15:30.716 [main] INFO  o.solenopsis.metadata.validation.PackageValidator - Validating package against org
2026-05-20 10:15:30.717 [main] INFO  o.solenopsis.metadata.validation.PackageValidator - Structure validation complete: 0 errors, 0 warnings
2026-05-20 10:15:30.718 [main] INFO  o.solenopsis.metadata.validation.PackageValidator - Org validation complete: 1 errors, 0 warnings
2026-05-20 10:15:30.725 [main] INFO  o.solenopsis.metadata.validation.PackageValidator - Validating package against org
2026-05-20 10:15:30.726 [main] INFO  o.solenopsis.metadata.validation.PackageValidator - Structure validation complete: 0 errors, 0 warnings
2026-05-20 10:15:30.727 [main] INFO  org.solenopsis.metadata.list.ListMetadata - Found 1 components for type: ApexClass
2026-05-20 10:15:30.728 [main] INFO  o.solenopsis.metadata.validation.PackageValidator - Org validation complete: 0 errors, 0 warnings
2026-05-20 10:15:31.326 [main] INFO  org.solenopsis.metadata.wsdl.RetrieveWsdls - Retrieving Custom WSDLs for org
2026-05-20 10:15:34.328 [main] INFO  org.solenopsis.metadata.wsdl.RetrieveWsdls - Discovered 0 web service class(es)
2026-05-20 10:15:34.337 [main] INFO  org.solenopsis.metadata.wsdl.RetrieveWsdls - Retrieving Custom WSDLs for org
2026-05-20 10:15:37.338 [main] INFO  org.solenopsis.metadata.wsdl.RetrieveWsdls - Found web service class: MyService
2026-05-20 10:15:37.339 [main] INFO  org.solenopsis.metadata.wsdl.RetrieveWsdls - Found web service class: AnotherService
2026-05-20 10:15:37.339 [main] INFO  org.solenopsis.metadata.wsdl.RetrieveWsdls - Discovered 2 web service class(es)
2026-05-20 10:15:40.349 [main] INFO  org.solenopsis.metadata.wsdl.RetrieveWsdls - Retrieving Custom WSDLs for org
2026-05-20 10:15:43.350 [main] INFO  org.solenopsis.metadata.wsdl.RetrieveWsdls - Discovered 0 web service class(es)
2026-05-20 10:16:36.460 [main] INFO  org.solenopsis.metadata.diff.DiffPackageGenerator - Generating package from 0 components (API 60.0)
2026-05-20 10:16:36.470 [main] INFO  org.solenopsis.metadata.diff.DiffPackageGenerator - Generated package with 0 types
2026-05-20 10:16:36.478 [main] INFO  org.solenopsis.metadata.diff.DiffPackageGenerator - Generating package from 3 components (API 60.0)
2026-05-20 10:16:36.479 [main] INFO  org.solenopsis.metadata.diff.DiffPackageGenerator - Generated package with 2 types
2026-05-20 10:16:36.482 [main] INFO  org.solenopsis.metadata.diff.DiffPackageGenerator - Generating package from 2 components (API 60.0)
2026-05-20 10:16:36.482 [main] INFO  org.solenopsis.metadata.diff.DiffPackageGenerator - Generated package with 1 types
2026-05-20 10:16:36.485 [main] INFO  org.solenopsis.metadata.diff.DiffPackageGenerator - Generating package from 2 components (API 60.0)
2026-05-20 10:16:36.486 [main] INFO  org.solenopsis.metadata.diff.DiffPackageGenerator - Generated package with 1 types
2026-05-20 10:16:36.489 [main] INFO  org.solenopsis.metadata.diff.DiffPackageGenerator - Generating package from 2 components (API 60.0)
2026-05-20 10:16:36.490 [main] INFO  org.solenopsis.metadata.diff.DiffPackageGenerator - Generated package with 1 types
2026-05-20 10:16:36.497 [main] INFO  org.solenopsis.metadata.diff.DiffPackageGenerator - Generating package from 3 components (API 60.0)
2026-05-20 10:16:36.497 [main] INFO  org.solenopsis.metadata.diff.DiffPackageGenerator - Generated package with 1 types
2026-05-20 10:16:36.499 [main] INFO  org.solenopsis.metadata.diff.DiffPackageGenerator - Generating package from 3 components (API 60.0)
2026-05-20 10:16:36.499 [main] INFO  org.solenopsis.metadata.diff.DiffPackageGenerator - Generated package with 3 types
2026-05-20 10:16:36.746 [main] INFO  org.solenopsis.metadata.list.ListMetadata - Found 1 components for type: Layout
2026-05-20 10:16:36.751 [main] INFO  org.solenopsis.metadata.list.ListMetadata - Listing 2 metadata types
2026-05-20 10:16:36.752 [main] INFO  org.solenopsis.metadata.list.ListMetadata - Found 1 components for type: ApexClass
2026-05-20 10:16:36.752 [main] INFO  org.solenopsis.metadata.list.ListMetadata - Found 1 components for type: ApexTrigger
2026-05-20 10:16:36.828 [main] INFO  org.solenopsis.metadata.list.ListMetadata - Listing all metadata types from org
2026-05-20 10:16:36.829 [main] INFO  org.solenopsis.metadata.list.ListMetadata - Found 1 components for type: ApexClass
2026-05-20 10:16:36.830 [main] INFO  org.solenopsis.metadata.list.ListMetadata - Found 1 components for type: CustomObject
2026-05-20 10:16:36.831 [main] INFO  org.solenopsis.metadata.list.ListMetadata - Listed 2 total components across 2 metadata types
2026-05-20 10:16:36.835 [main] INFO  org.solenopsis.metadata.list.ListMetadata - Found 2 components for type: ApexClass
2026-05-20 10:16:36.839 [main] INFO  org.solenopsis.metadata.list.ListMetadata - Found 1 components for type: Report in folder: MyFolder
